County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
Santa Cruz,2016,707.0,610.0,0.0,478.0,213.0,432.0,254.0,2152.0,198.0,149.0,279.0,2240.0,0.0,185.0
Santa Cruz,2017,729.0,540.0,0.0,516.0,181.0,416.0,206.0,2267.0,63.0,206.0,242.0,2349.0,67.0,44.0
Santa Cruz,2018,738.0,536.0,0.0,462.0,216.0,392.0,230.0,1957.0,181.0,277.0,222.0,2531.0,25.0,56.0
Santa Cruz,2019,751.0,578.0,0.0,567.0,228.0,389.0,202.0,2053.0,244.0,96.0,261.0,2516.0,31.0,146.0
Shasta,2014,610.0,709.0,22.0,390.0,226.0,1169.0,222.0,2927.0,174.0,214.0,294.0,2876.0,248.0,49.0
Shasta,2015,647.0,750.0,11.0,764.0,258.0,1121.0,361.0,3228.0,262.0,204.0,167.0,3048.0,134.0,98.0
Shasta,2016,719.0,1019.0,54.0,627.0,281.0,968.0,299.0,3122.0,138.0,162.0,111.0,2955.0,193.0,118.0
Shasta,2017,743.0,970.0,12.0,611.0,168.0,1209.0,322.0,3526.0,130.0,288.0,317.0,2607.0,68.0,100.0
Shasta,2018,832.0,832.0,28.0,699.0,339.0,1216.0,339.0,3179.0,264.0,392.0,98.0,2732.0,27.0,41.0
Shasta,2019,780.0,909.0,0.0,567.0,322.0,1117.0,323.0,3148.0,146.0,262.0,301.0,2595.0,38.0,54.0
Sierra,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
