County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
El Dorado,2018,532.0,415.0,0.0,427.0,227.0,473.0,183.0,1988.0,30.0,91.0,72.0,2012.0,72.0,60.0
El Dorado,2019,469.0,373.0,0.0,350.0,228.0,479.0,138.0,2015.0,13.0,90.0,195.0,2077.0,0.0,84.0
Fresno,2014,2408.0,1869.0,267.0,2506.0,847.0,1741.0,1509.0,8935.0,1282.0,1067.0,629.0,7693.0,493.0,324.0
Fresno,2015,2556.0,2101.0,367.0,2531.0,1005.0,1757.0,1398.0,9045.0,1334.0,1028.0,578.0,8031.0,419.0,371.0
Fresno,2016,2897.0,1989.0,399.0,2564.0,893.0,1887.0,1383.0,9559.0,1262.0,852.0,590.0,8066.0,573.0,371.0
Fresno,2017,2748.0,2228.0,510.0,2760.0,920.0,2062.0,1443.0,10030.0,1320.0,887.0,643.0,8191.0,573.0,398.0
Fresno,2018,2630.0,2250.0,230.0,2544.0,994.0,2083.0,1783.0,9875.0,1206.0,1178.0,631.0,8444.0,426.0,400.0
Fresno,2019,2645.0,2413.0,419.0,2352.0,972.0,1881.0,1580.0,10170.0,1193.0,676.0,604.0,8352.0,556.0,495.0
Glenn,2014,52.0,22.0,0.0,12.0,0.0,18.0,0.0,236.0,0.0,0.0,0.0,317.0,0.0,0.0
Glenn,2015,28.0,12.0,0.0,14.0,0.0,16.0,0.0,242.0,0.0,0.0,0.0,285.0,0.0,0.0
Glenn,2016,67.0,28.0,0.0,19.0,0.0,31.0,0.0,326.0,0.0,0.0,0.0,201.0,0.0,0.0
Glenn,2017,40.0,13.0,0.0,16.0,0.0,49.0,0.0,243.0,0.0,0.0,11.0,210.0,0.0,0.0
Glenn,2018,28.0,16.0,0.0,23.0,0.0,36.0,11.0,304.0,0.0,0.0,0.0,339.0,0.0,0.0
Glenn,2019,15.0,13.0,0.0,12.0,0.0,33.0,0.0,276.0,0.0,0.0,0.0,164.0,0.0,0.0
Humboldt,2014,539.0,182.0,42.0,626.0,177.0,482.0,152.0,1492.0,48.0,56.0,132.0,1640.0,0.0,56.0
Humboldt,2015,565.0,174.0,22.0,632.0,195.0,412.0,168.0,1731.0,58.0,33.0,188.0,1513.0,0.0,24.0
Humboldt,2016,566.0,192.0,30.0,586.0,82.0,425.0,247.0,1683.0,26.0,29.0,199.0,1738.0,0.0,29.0
Humboldt,2017,638.0,82.0,0.0,702.0,181.0,482.0,318.0,1515.0,43.0,45.0,84.0,1551.0,0.0,37.0
Humboldt,2018,513.0,104.0,26.0,864.0,229.0,420.0,270.0,1682.0,0.0,88.0,102.0,1580.0,0.0,29.0
Humboldt,2019,579.0,49.0,0.0,873.0,204.0,566.0,227.0,1584.0,62.0,92.0,106.0,1889.0,0.0,36.0
Imperial,2014,464.0,14.0,0.0,138.0,93.0,84.0,231.0,1352.0,11.0,118.0,30.0,1173.0,80.0,0.0
Imperial,2015,512.0,12.0,0.0,190.0,71.0,226.0,266.0,1330.0,69.0,247.0,36.0,958.0,46.0,0.0
Imperial,2016,505.0,27.0,0.0,183.0,76.0,162.0,331.0,1345.0,88.0,227.0,43.0,1189.0,0.0,0.0
Imperial,2017,397.0,125.0,0.0,143.0,47.0,130.0,282.0,1369.0,66.0,210.0,37.0,1269.0,37.0,0.0
Imperial,2018,642.0,74.0,0.0,311.0,58.0,279.0,359.0,1332.0,215.0,113.0,12.0,1107.0,151.0,0.0
Imperial,2019,456.0,195.0,23.0,183.0,100.0,83.0,370.0,1196.0,183.0,181.0,22.0,1010.0,153.0,23.0
Inyo,2014,31.0,0.0,0.0,0.0,0.0,22.0,0.0,257.0,0.0,0.0,0.0,169.0,0.0,0.0
Inyo,2015,11.0,0.0,0.0,13.0,0.0,27.0,0.0,228.0,0.0,0.0,0.0,267.0,0.0,0.0
Inyo,2016,46.0,0.0,0.0,0.0,0.0,28.0,0.0,177.0,0.0,0.0,0.0,264.0,0.0,0.0
Inyo,2017,46.0,0.0,0.0,0.0,0.0,70.0,0.0,242.0,0.0,0.0,0.0,204.0,0.0,0.0
Inyo,2018,12.0,0.0,0.0,12.0,0.0,64.0,0.0,226.0,0.0,13.0,0.0,163.0,0.0,0.0
Inyo,2019,45.0,0.0,0.0,14.0,0.0,36.0,0.0,217.0,11.0,0.0,0.0,178.0,0.0,0.0
Kern,2014,2356.0,1498.0,294.0,1535.0,672.0,2157.0,1340.0,8282.0,559.0,718.0,693.0,6715.0,409.0,253.0
Kern,2015,2756.0,2158.0,270.0,1363.0,729.0,2170.0,1502.0,7763.0,588.0,508.0,672.0,6587.0,477.0,215.0
Kern,2016,2788.0,2136.0,319.0,1594.0,718.0,2348.0,1718.0,8301.0,577.0,482.0,713.0,6860.0,580.0,357.0
Kern,2017,3144.0,1891.0,388.0,1371.0,701.0,2112.0,1585.0,8325.0,558.0,501.0,688.0,6737.0,757.0,389.0
Kern,2018,2779.0,2085.0,663.0,1647.0,767.0,2376.0,1743.0,8565.0,538.0,616.0,582.0,6813.0,623.0,414.0
Kern,2019,3166.0,2021.0,530.0,1801.0,945.0,2650.0,1848.0,8566.0,578.0,626.0,755.0,6603.0,454.0,415.0
Kings,2014,287.0,205.0,0.0,126.0,95.0,215.0,140.0,916.0,11.0,172.0,32.0,1011.0,28.0,0.0
Kings,2015,276.0,177.0,0.0,153.0,33.0,226.0,136.0,983.0,26.0,51.0,29.0,1047.0,24.0,0.0
Kings,2016,284.0,214.0,15.0,211.0,70.0,340.0,98.0,1049.0,23.0,70.0,26.0,915.0,27.0,0.0
Kings,2017,307.0,108.0,0.0,210.0,83.0,249.0,38.0,1204.0,0.0,50.0,77.0,1064.0,26.0,0.0
Kings,2018,304.0,114.0,0.0,170.0,66.0,207.0,53.0,1222.0,26.0,27.0,37.0,1077.0,93.0,0.0
Kings,2019,317.0,85.0,0.0,295.0,71.0,235.0,96.0,1132.0,0.0,25.0,74.0,1011.0,62.0,0.0
Lake,2014,348.0,43.0,0.0,130.0,47.0,306.0,11.0,999.0,0.0,15.0,32.0,875.0,14.0,0.0
Lake,2015,403.0,83.0,0.0,128.0,112.0,372.0,52.0,1070.0,0.0,31.0,68.0,1070.0,41.0,0.0
Lake,2016,305.0,75.0,0.0,141.0,59.0,244.0,49.0,941.0,0.0,48.0,42.0,1011.0,33.0,0.0
Lake,2017,369.0,80.0,0.0,196.0,36.0,305.0,84.0,909.0,0.0,31.0,43.0,920.0,26.0,0.0
Lake,2018,372.0,11.0,0.0,129.0,62.0,378.0,27.0,829.0,0.0,45.0,73.0,964.0,41.0,25.0
Lake,2019,473.0,17.0,0.0,163.0,153.0,370.0,13.0,887.0,0.0,0.0,56.0,964.0,29.0,0.0
Lassen,2014,54.0,0.0,0.0,0.0,0.0,28.0,0.0,215.0,0.0,0.0,0.0,165.0,0.0,0.0
Lassen,2015,47.0,0.0,0.0,0.0,0.0,22.0,0.0,308.0,0.0,0.0,0.0,206.0,0.0,0.0
Lassen,2016,41.0,0.0,0.0,0.0,0.0,38.0,0.0,290.0,0.0,0.0,0.0,197.0,0.0,0.0
Lassen,2017,38.0,0.0,0.0,0.0,0.0,36.0,0.0,271.0,0.0,0.0,0.0,144.0,0.0,0.0
Lassen,2018,39.0,0.0,0.0,12.0,0.0,17.0,0.0,261.0,0.0,0.0,26.0,195.0,0.0,0.0
Lassen,2019,140.0,0.0,0.0,26.0,0.0,28.0,0.0,227.0,0.0,0.0,0.0,170.0,0.0,0.0
Los Angeles,2014,13416.0,17112.0,3260.0,19229.0,8110.0,16818.0,13774.0,93155.0,6916.0,12458.0,4797.0,86214.0,5976.0,3563.0
Los Angeles,2015,14366.0,22813.0,3758.0,22051.0,9506.0,18031.0,14416.0,98751.0,7998.0,12837.0,4999.0,88389.0,7431.0,3977.0
Los Angeles,2016,15753.0,23953.0,3901.0,22099.0,8869.0,18847.0,15078.0,99003.0,7800.0,12607.0,5026.0,88086.0,7050.0,3986.0
Los Angeles,2017,15660.0,25063.0,3705.0,22425.0,8680.0,18613.0,16011.0,100023.0,8494.0,11885.0,5363.0,88815.0,8070.0,4771.0
Los Angeles,2018,15990.0,24492.0,3646.0,22401.0,8870.0,18554.0,16266.0,101241.0,8964.0,13206.0,5740.0,89193.0,8140.0,4803.0
Los Angeles,2019,18035.0,26455.0,3180.0,22713.0,8701.0,17688.0,17859.0,100386.0,9190.0,10942.0,5166.0,88542.0,8088.0,5208.0
Madera,2014,352.0,322.0,0.0,230.0,136.0,324.0,120.0,1173.0,174.0,35.0,52.0,1032.0,0.0,0.0
Madera,2015,385.0,378.0,0.0,314.0,58.0,307.0,115.0,1298.0,213.0,39.0,26.0,1279.0,13.0,0.0
Madera,2016,437.0,349.0,0.0,326.0,71.0,316.0,158.0,1234.0,90.0,46.0,29.0,1143.0,17.0,0.0
Madera,2017,388.0,376.0,11.0,315.0,118.0,339.0,87.0,1135.0,74.0,33.0,75.0,1391.0,27.0,0.0
Madera,2018,366.0,308.0,26.0,214.0,124.0,359.0,214.0,1150.0,130.0,88.0,40.0,1137.0,0.0,12.0
Madera,2019,520.0,357.0,0.0,240.0,47.0,359.0,126.0,1298.0,77.0,17.0,62.0,1098.0,17.0,0.0
Marin,2014,438.0,952.0,0.0,651.0,155.0,442.0,149.0,2364.0,40.0,216.0,310.0,2702.0,29.0,145.0
Marin,2015,527.0,998.0,0.0,696.0,29.0,396.0,161.0,2661.0,93.0,200.0,201.0,2955.0,41.0,321.0
Marin,2016,541.0,1004.0,0.0,529.0,120.0,516.0,188.0,2508.0,57.0,249.0,230.0,2718.0,68.0,152.0
Marin,2017,576.0,1046.0,0.0,594.0,103.0,533.0,199.0,2530.0,179.0,342.0,240.0,2780.0,51.0,45.0
Marin,2018,535.0,1024.0,0.0,581.0,67.0,539.0,233.0,2305.0,59.0,254.0,262.0,2985.0,35.0,239.0
Marin,2019,575.0,850.0,0.0,706.0,85.0,392.0,93.0,2259.0,100.0,252.0,349.0,2868.0,72.0,224.0
Mariposa,2014,50.0,0.0,0.0,0.0,0.0,17.0,0.0,149.0,0.0,0.0,0.0,162.0,0.0,0.0
Mariposa,2015,12.0,0.0,0.0,0.0,0.0,13.0,0.0,242.0,0.0,0.0,0.0,146.0,0.0,0.0
Mariposa,2016,61.0,0.0,0.0,0.0,0.0,28.0,0.0,298.0,0.0,0.0,0.0,252.0,0.0,0.0
Mariposa,2017,34.0,0.0,0.0,0.0,0.0,14.0,0.0,371.0,0.0,0.0,0.0,172.0,0.0,0.0
Mariposa,2018,43.0,0.0,0.0,18.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,242.0,0.0,0.0
Mariposa,2019,39.0,0.0,0.0,0.0,0.0,11.0,0.0,216.0,0.0,0.0,0.0,164.0,0.0,0.0
Mendocino,2014,362.0,58.0,0.0,166.0,59.0,227.0,90.0,1095.0,0.0,52.0,68.0,1049.0,27.0,0.0
Mendocino,2015,217.0,32.0,0.0,236.0,12.0,164.0,58.0,1245.0,0.0,37.0,60.0,1183.0,13.0,0.0
Mendocino,2016,394.0,14.0,0.0,167.0,13.0,313.0,71.0,1053.0,0.0,40.0,68.0,1045.0,43.0,0.0
Mendocino,2017,449.0,39.0,0.0,245.0,0.0,272.0,168.0,1159.0,25.0,34.0,73.0,1014.0,0.0,0.0
Mendocino,2018,418.0,47.0,0.0,166.0,72.0,306.0,59.0,922.0,56.0,34.0,18.0,980.0,0.0,26.0
Mendocino,2019,445.0,14.0,0.0,130.0,44.0,223.0,62.0,1025.0,0.0,56.0,58.0,1151.0,28.0,35.0
Merced,2014,568.0,240.0,76.0,394.0,96.0,414.0,336.0,2044.0,99.0,155.0,38.0,1848.0,52.0,0.0
Merced,2015,678.0,308.0,98.0,447.0,220.0,538.0,379.0,2040.0,85.0,129.0,185.0,1834.0,31.0,24.0
Merced,2016,859.0,335.0,13.0,448.0,108.0,570.0,383.0,2260.0,87.0,217.0,94.0,2134.0,57.0,61.0
Merced,2017,741.0,328.0,56.0,441.0,201.0,648.0,340.0,2041.0,123.0,246.0,52.0,1929.0,141.0,61.0
Merced,2018,721.0,349.0,25.0,365.0,175.0,579.0,354.0,1925.0,147.0,232.0,35.0,1971.0,136.0,68.0
Merced,2019,647.0,337.0,47.0,450.0,215.0,368.0,375.0,1890.0,175.0,148.0,82.0,1916.0,109.0,130.0
Modoc,2014,0.0,0.0,0.0,0.0,0.0,26.0,0.0,38.0,0.0,0.0,0.0,95.0,0.0,0.0
Modoc,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,83.0,0.0,0.0
Modoc,2016,0.0,0.0,0.0,0.0,0.0,35.0,0.0,73.0,0.0,0.0,0.0,74.0,0.0,0.0
Modoc,2017,12.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,29.0,0.0,0.0
Modoc,2018,0.0,0.0,0.0,0.0,0.0,11.0,0.0,78.0,0.0,0.0,0.0,27.0,0.0,0.0
Modoc,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,92.0,0.0,0.0
Mono,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,2015,13.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,18.0,0.0,0.0
Mono,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,2018,14.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,11.0,0.0,0.0
Mono,2019,16.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,14.0,0.0,0.0
Monterey,2014,668.0,501.0,124.0,794.0,217.0,620.0,457.0,2872.0,69.0,248.0,284.0,3399.0,212.0,180.0
Monterey,2015,936.0,732.0,215.0,851.0,233.0,709.0,541.0,3014.0,215.0,296.0,309.0,3318.0,232.0,149.0
Monterey,2016,958.0,845.0,205.0,883.0,280.0,775.0,418.0,2915.0,228.0,259.0,151.0,3297.0,150.0,53.0
Monterey,2017,962.0,652.0,164.0,809.0,254.0,725.0,438.0,3021.0,84.0,300.0,150.0,3505.0,243.0,154.0
Monterey,2018,1011.0,672.0,111.0,877.0,274.0,583.0,418.0,2947.0,202.0,340.0,169.0,3262.0,279.0,241.0
Monterey,2019,1031.0,638.0,45.0,872.0,293.0,703.0,509.0,3160.0,205.0,232.0,165.0,3124.0,179.0,201.0
Napa,2014,247.0,242.0,0.0,342.0,48.0,264.0,79.0,1450.0,12.0,189.0,27.0,1754.0,57.0,33.0
Napa,2015,343.0,365.0,0.0,336.0,50.0,323.0,202.0,1809.0,52.0,167.0,34.0,1713.0,88.0,39.0
Napa,2016,338.0,328.0,0.0,356.0,36.0,321.0,192.0,1802.0,12.0,124.0,23.0,1770.0,36.0,37.0
Napa,2017,363.0,385.0,0.0,495.0,66.0,304.0,199.0,1742.0,26.0,154.0,62.0,1733.0,131.0,86.0
Napa,2018,365.0,478.0,0.0,282.0,29.0,318.0,162.0,1574.0,29.0,89.0,41.0,1639.0,12.0,66.0
Napa,2019,321.0,515.0,0.0,397.0,31.0,216.0,168.0,1816.0,0.0,45.0,41.0,1591.0,58.0,40.0
Nevada,2014,208.0,327.0,0.0,235.0,32.0,218.0,60.0,1243.0,56.0,92.0,46.0,1379.0,38.0,0.0
Nevada,2015,263.0,327.0,0.0,264.0,56.0,516.0,55.0,1202.0,56.0,118.0,81.0,1320.0,26.0,46.0
Nevada,2016,264.0,144.0,0.0,194.0,32.0,402.0,36.0,1398.0,58.0,35.0,35.0,1301.0,0.0,56.0
Nevada,2017,323.0,178.0,0.0,301.0,70.0,166.0,106.0,1435.0,54.0,116.0,54.0,1552.0,29.0,22.0
Nevada,2018,324.0,182.0,0.0,318.0,94.0,262.0,76.0,1516.0,0.0,117.0,46.0,1392.0,11.0,50.0
Nevada,2019,283.0,340.0,0.0,202.0,27.0,238.0,32.0,1347.0,35.0,39.0,41.0,1375.0,14.0,25.0
Orange,2014,4517.0,7133.0,341.0,7086.0,2089.0,5349.0,2599.0,27933.0,1864.0,2944.0,2120.0,27509.0,1810.0,1289.0
Orange,2015,5099.0,8808.0,245.0,7397.0,2285.0,5825.0,2953.0,28883.0,1787.0,3310.0,1731.0,27833.0,2109.0,1823.0
Orange,2016,5384.0,8775.0,398.0,8487.0,2205.0,5591.0,3094.0,28369.0,1599.0,3378.0,1926.0,28120.0,2196.0,1765.0
Orange,2017,5772.0,8729.0,413.0,8660.0,2434.0,6116.0,3093.0,29906.0,1999.0,3348.0,1910.0,28733.0,2087.0,1971.0
Orange,2018,5676.0,9170.0,359.0,9075.0,2310.0,5839.0,3298.0,29973.0,1925.0,3504.0,2186.0,28857.0,2467.0,2163.0
Orange,2019,5688.0,9064.0,303.0,8764.0,2386.0,5753.0,3202.0,30056.0,1835.0,3156.0,2008.0,29209.0,2435.0,2392.0
Placer,2014,727.0,1187.0,0.0,952.0,370.0,1078.0,440.0,3918.0,312.0,317.0,301.0,4637.0,72.0,156.0
Placer,2015,845.0,1316.0,0.0,1146.0,423.0,1175.0,510.0,4159.0,180.0,341.0,221.0,4849.0,261.0,165.0
Placer,2016,1020.0,1268.0,0.0,1282.0,374.0,1181.0,564.0,4281.0,254.0,373.0,261.0,4856.0,272.0,187.0
Placer,2017,1021.0,1580.0,12.0,1152.0,364.0,1225.0,556.0,4632.0,323.0,597.0,189.0,4630.0,194.0,286.0
Placer,2018,821.0,1638.0,0.0,1424.0,373.0,1194.0,552.0,4913.0,283.0,500.0,292.0,4824.0,178.0,345.0
Placer,2019,954.0,1520.0,12.0,1388.0,359.0,1086.0,651.0,4438.0,358.0,350.0,296.0,4807.0,200.0,291.0
Plumas,2014,70.0,0.0,0.0,0.0,0.0,33.0,0.0,178.0,0.0,0.0,0.0,166.0,0.0,0.0
Plumas,2015,37.0,0.0,0.0,26.0,0.0,57.0,0.0,130.0,0.0,0.0,0.0,166.0,0.0,0.0
Plumas,2016,26.0,13.0,0.0,12.0,0.0,28.0,0.0,142.0,0.0,0.0,0.0,202.0,0.0,0.0
Plumas,2017,58.0,0.0,0.0,0.0,0.0,39.0,22.0,158.0,0.0,0.0,0.0,274.0,0.0,0.0
Plumas,2018,104.0,0.0,0.0,14.0,0.0,27.0,0.0,226.0,0.0,0.0,0.0,246.0,0.0,0.0
Plumas,2019,35.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,170.0,0.0,0.0
Riverside,2014,4674.0,4719.0,508.0,4507.0,1940.0,5743.0,2714.0,23237.0,1542.0,1313.0,1330.0,21662.0,1028.0,933.0
Riverside,2015,5170.0,6018.0,523.0,5232.0,1897.0,6348.0,2751.0,25185.0,1619.0,1706.0,1502.0,21792.0,1373.0,974.0
Riverside,2016,5350.0,5722.0,549.0,5074.0,1909.0,6157.0,3043.0,25959.0,1576.0,1487.0,1660.0,21134.0,1373.0,999.0
Riverside,2017,5862.0,6214.0,503.0,5410.0,1956.0,5989.0,2837.0,27798.0,1606.0,1796.0,1573.0,21550.0,1495.0,1007.0
Riverside,2018,6102.0,6329.0,631.0,5645.0,1889.0,6871.0,2629.0,27696.0,1680.0,2195.0,1769.0,22272.0,1403.0,1272.0
Riverside,2019,6113.0,6019.0,714.0,5837.0,2202.0,6012.0,3179.0,28297.0,1814.0,1940.0,1890.0,22410.0,1603.0,1400.0
Sacramento,2014,3397.0,2982.0,573.0,3741.0,1063.0,3587.0,2173.0,15283.0,1456.0,1472.0,1243.0,15095.0,182.0,485.0
Sacramento,2015,3926.0,3431.0,627.0,4488.0,1200.0,3742.0,2308.0,16490.0,1440.0,1421.0,1143.0,15507.0,211.0,561.0
Sacramento,2016,3698.0,3854.0,606.0,4362.0,1049.0,3447.0,2591.0,15552.0,1496.0,1416.0,1098.0,15077.0,209.0,709.0
Sacramento,2017,4006.0,4569.0,513.0,4635.0,1253.0,3663.0,2761.0,15510.0,1859.0,1454.0,1203.0,15700.0,265.0,815.0
Sacramento,2018,4095.0,5071.0,477.0,4732.0,1282.0,3622.0,2971.0,15439.0,1731.0,1660.0,1223.0,15069.0,335.0,757.0
Sacramento,2019,4491.0,4533.0,497.0,4817.0,1248.0,3552.0,2860.0,15146.0,1627.0,1389.0,1226.0,16086.0,347.0,901.0
San Benito,2014,67.0,0.0,0.0,29.0,0.0,11.0,0.0,335.0,0.0,26.0,0.0,295.0,0.0,0.0
San Benito,2015,58.0,0.0,0.0,14.0,0.0,71.0,30.0,283.0,0.0,0.0,0.0,333.0,0.0,0.0
San Benito,2016,66.0,0.0,0.0,59.0,0.0,38.0,17.0,359.0,0.0,0.0,0.0,299.0,0.0,0.0
San Benito,2017,81.0,0.0,0.0,87.0,0.0,79.0,26.0,360.0,11.0,0.0,0.0,459.0,0.0,0.0
San Benito,2018,55.0,0.0,0.0,76.0,0.0,45.0,28.0,389.0,0.0,0.0,0.0,365.0,0.0,0.0
San Benito,2019,92.0,14.0,0.0,38.0,0.0,48.0,27.0,314.0,12.0,0.0,0.0,293.0,0.0,0.0
San Bernardino,2014,3389.0,3236.0,697.0,3968.0,1916.0,5187.0,3508.0,18242.0,1373.0,1395.0,1179.0,17642.0,1103.0,701.0
San Bernardino,2015,3492.0,3708.0,683.0,4121.0,1982.0,5576.0,3620.0,19627.0,1293.0,1327.0,1359.0,18205.0,1371.0,706.0
San Bernardino,2016,3660.0,4477.0,836.0,4520.0,1863.0,5604.0,4041.0,20308.0,1296.0,1484.0,1366.0,17719.0,1338.0,679.0
San Bernardino,2017,4607.0,4706.0,835.0,4900.0,2013.0,5695.0,4186.0,20653.0,1557.0,1529.0,1356.0,18043.0,1536.0,677.0
San Bernardino,2018,5252.0,4259.0,784.0,4397.0,1971.0,5523.0,4194.0,21308.0,1452.0,1846.0,1383.0,18375.0,1470.0,793.0
San Bernardino,2019,5092.0,4214.0,919.0,4758.0,2310.0,5597.0,4089.0,21588.0,1683.0,1675.0,1366.0,18090.0,1615.0,728.0
San Diego,2014,6711.0,7921.0,496.0,6973.0,1918.0,5935.0,3577.0,27783.0,1881.0,1854.0,2483.0,29835.0,660.0,1610.0
San Diego,2015,6628.0,8419.0,532.0,7154.0,2371.0,6044.0,4331.0,29055.0,2310.0,2117.0,2500.0,30897.0,567.0,1612.0
San Diego,2016,6852.0,8460.0,629.0,8466.0,2542.0,6292.0,4454.0,29724.0,2408.0,2214.0,2517.0,31347.0,500.0,1915.0
