ID Place of Birth,Place of Birth,ID Age,Age,Birthplace (2013),Birthplace (2014),Birthplace (2015),Birthplace (2016),Birthplace (2017),Birthplace (2018),Birthplace (2019),Birthplace Moe (2013),Birthplace Moe (2014),Birthplace Moe (2015),Birthplace Moe (2016),Birthplace Moe (2017),Birthplace Moe (2018),Birthplace Moe (2019),Geography (2013),Geography (2014),Geography (2015),Geography (2016),Geography (2017),Geography (2018),Geography (2019),ID Geography (2013),ID Geography (2014),ID Geography (2015),ID Geography (2016),ID Geography (2017),ID Geography (2018),ID Geography (2019)
1,"Born In Other State In The United States",9,"65 to 74 Years",983600,1002009,1029770,1040838,1039557,1036805,1042612,10019,11565,11732,11458,12639,11603,12830,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
1,"Born In Other State In The United States",10,"75 Years & Over",937299,922063,927420,932299,935496,932077,937251,11573,8831,10520,9493,10561,10864,11584,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",0,"Under 5 Years",23150,25109,26678,25655,27149,32374,34798,2449,3026,3298,2990,3262,3551.0000000000005,3358,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",1,"5 to 17 Years",75641,75873,83843,85168,92651,87787,102568,5295,4977,5864,5960,5751,5700,6423,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",2,"18 to 24 Years",51689,47510,52965,54030,53711,54119,51299,3696,3817,4245,3799.0000000000005,4061,4241,3975,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",3,"25 to 34 Years",70245,84926,79831,92081,90285,86344,85752,4392,5528,5648,5361,5037,5777,5905,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",4,"35 to 44 Years",76455,72604,73291,71567,77706,74974,78695,4868,4807,4375,4516,4473,4445,5648,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",5,"45 to 54 Years",75457,77833,81413,74421,78724,76182,75529,4239,4081.9999999999995,4381,4612,4665,4436,4837,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",6,"55 to 59 Years",37034,35996,41434,42546,39078,37805,32232,2966,2516,2862,3343,3328,3216,2810,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",7,"60 & 61 Years",12712,12438,12754,15945,13516,14500,14192,1823,1596,1766,1807.9999999999998,2025.9999999999998,1959.9999999999998,1835,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",8,"62 to 64 Years",14222,15816,17201,17603,21105,18531,20386,1811.0000000000002,1636,1951,1901,2282,2289,2027,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",9,"65 to 74 Years",24479,29119,33518,35296,36571,39250,40610,2587,2970,2749,3405.0000000000005,2856,3141,3838,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
2,"Native; Born Outside The United States",10,"75 Years & Over",17230,19945,17545,22634,21156,21267,26952,1742,2175,2077,2110,2186,2174,2622,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",0,"Under 5 Years",43805,49992,50528,61951,54364,51479,48742,3716.9999999999995,3524,3909,4444,4200,4604,4607,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
